id,join_date,activated
1,"2019-03-31 01:50:31",1
28,"2019-03-31 01:50:31",1
29,"2019-03-31 01:50:31",1
31,"2019-03-31 01:50:31",1
32,"2019-03-31 01:50:31",1
33,"2019-03-31 01:50:31",1
34,"2019-03-31 01:50:31",1
35,"2019-03-31 01:50:31",1
36,"2019-03-31 01:50:31",1
37,"2019-03-31 01:50:31",1
38,"2019-03-31 01:50:31",1
39,"2019-03-31 01:50:31",1
40,"2019-03-31 01:50:31",1
41,"2019-03-31 01:50:31",1
42,"2019-03-31 01:50:31",1
43,"2019-03-31 01:50:31",1
44,"2019-03-31 01:50:31",1
45,"2019-03-31 01:50:31",1
46,"2019-03-31 01:50:31",1
47,"2019-03-31 01:50:31",1
48,"2019-03-31 01:50:31",1
49,"2019-03-31 01:50:31",1
50,"2019-03-31 01:50:31",1
51,"2019-03-31 01:50:31",1
52,"2019-03-31 01:50:31",1
53,"2019-03-31 01:50:31",1
54,"2019-03-31 01:50:31",1
55,"2019-03-31 01:50:31",1
56,"2019-03-31 01:50:31",1
57,"2019-03-31 01:50:31",1
58,"2019-03-31 01:50:31",1
59,"2019-03-31 01:50:31",1
60,"2019-03-31 01:50:31",1
61,"2019-03-31 01:50:31",1
62,"2019-03-31 01:50:31",1
63,"2019-03-31 01:50:31",1
64,"2019-03-31 01:50:31",1
65,"2019-03-31 01:50:31",1
66,"2019-03-31 01:50:31",1
67,"2019-03-31 01:50:31",1
68,"2019-03-31 01:50:31",1
69,"2019-03-31 01:50:31",1
70,"2019-03-31 01:50:31",1
71,"2019-03-31 01:50:31",1
72,"2019-03-31 01:50:31",1
73,"2019-03-31 01:50:31",1
74,"2019-03-31 01:50:31",1
75,"2019-03-31 01:50:31",1
76,"2019-03-31 01:50:31",1
77,"2019-03-31 01:50:31",1
78,"2019-03-31 01:50:31",1
79,"2019-03-31 01:50:31",1
80,"2019-03-31 01:50:31",1
81,"2019-03-31 01:50:31",1
82,"2019-03-31 01:50:31",1
83,"2019-03-31 01:50:31",1
85,"2019-03-31 01:50:31",1
86,"2019-03-31 01:50:31",1
87,"2019-03-31 01:50:31",1
88,"2019-03-31 01:50:31",1
89,"2019-03-31 01:50:31",1
90,"2019-03-31 01:50:31",1
91,"2019-03-31 01:50:31",1
92,"2019-03-31 01:50:31",1
93,"2019-03-31 01:50:31",1
94,"2019-03-31 01:50:31",1
95,"2019-03-31 01:50:31",1
96,"2019-03-31 01:50:31",1
97,"2019-03-31 01:50:31",1
98,"2019-03-31 01:50:31",1
99,"2019-03-31 01:50:31",1
100,"2019-03-31 01:50:31",1
101,"2019-03-31 01:50:31",1
102,"2019-03-31 01:50:31",1
103,"2019-03-31 01:50:31",1
104,"2019-03-31 01:50:31",1
105,"2019-03-31 01:50:31",1
106,"2019-03-31 01:50:31",1
107,"2019-03-31 01:50:31",1
108,"2019-03-31 01:50:31",1
109,"2019-03-31 01:50:31",1
110,"2019-03-31 01:50:31",1
111,"2019-03-31 01:50:31",1
112,"2019-03-31 01:50:31",1
113,"2019-03-31 01:50:31",1
114,"2019-03-31 01:50:31",1
115,"2019-03-31 01:50:31",1
116,"2019-03-31 01:50:31",1
117,"2019-03-31 01:50:31",1
118,"2019-03-31 01:50:31",1
119,"2019-03-31 01:50:31",1
120,"2019-03-31 01:50:31",1
121,"2019-03-31 01:50:31",1
122,"2019-03-31 01:50:31",1
123,"2019-03-31 01:50:31",1
124,"2019-03-31 01:50:31",1
125,"2019-03-31 01:50:31",1
126,"2019-03-31 01:50:31",1
127,"2019-03-31 01:50:31",1
128,"2019-03-31 01:50:31",1
129,"2019-03-31 01:50:31",1
130,"2019-03-31 01:50:31",1
131,"2019-03-31 01:50:31",1
132,"2019-03-31 01:50:31",1
133,"2019-03-31 01:50:31",1
134,"2019-03-31 01:50:31",1
135,"2019-03-31 01:50:31",1
136,"2019-03-31 01:50:31",1
137,"2019-03-31 01:50:31",1
138,"2019-03-31 01:50:31",1
139,"2019-03-31 01:50:31",1
140,"2019-03-31 01:50:31",1
141,"2019-03-31 01:50:31",1
142,"2019-03-31 01:50:31",1
143,"2019-03-31 01:50:31",1
144,"2019-03-31 01:50:31",1
145,"2019-03-31 01:50:31",1
146,"2019-03-31 01:50:31",1
147,"2019-03-31 01:50:31",1
148,"2019-03-31 01:50:31",1
149,"2019-03-31 01:50:31",1
150,"2019-03-31 01:50:31",1
